"city_cn","year","city_code","city_invest","city_tech","city_edu","city_industry"
"天津",2022,"120100",275152,NA,0.174703436645927,NA
"石家庄",2003,"130100",8022.74,0.00411330792223106,0.216140620286835,0.3811
"石家庄",2004,"130100",9296.83,0.00408741474244447,0.219592054495995,0.3727
"石家庄",2005,"130100",10816.27,0.00416039910246323,0.22271171115366,0.3769
"石家庄",2006,"130100",12824.62,0.00350887589651779,0.209417511006174,0.3894
"石家庄",2007,"130100",16316.92,0.0193664000313785,0.246778190982122,NA
"石家庄",2008,"130100",19378.69,0.021105657812783,0.253640983988082,0.389
"石家庄",2009,"130100",24091.71,0.016063616903906,0.254258415031561,0.4015
"石家庄",2010,"130100",30516.47,0.0147461354475141,0.229412510686852,0.4051
"石家庄",2011,"130100",40353.81,0.015661470379129,0.216869980802308,0.4007
"石家庄",2012,"130100",46409.32,0.0161820944586131,0.235467789659491,0.4016
"石家庄",2013,"130100",52294.42,0.0152979992894079,0.22220343967865,0.4144
"石家庄",2014,"130100",56648.78,0.0128687678710821,0.211990267045469,0.4381
"石家庄",2015,"130100",68238.57,0.0132622943300248,0.199535541263541,0.4584
"石家庄",2016,"130100",74611.88,0.0163914915426337,0.213351546697389,0.4644
"石家庄",2017,"130100",80672.84,0.0124701200552751,0.207840581786881,NA
"石家庄",2018,"130100",99161.27,0.011970399330303,0.198782750563804,0.5551
"石家庄",2019,"130100",105138.84,0.0117368614681311,0.203956691932306,0.6074
"石家庄",2020,"130100",114222.65,0.0133773818064981,0.191316695944281,0.6219
"石家庄",2021,"130100",115274.42,0.0133247254681481,0.185730711115267,0.5975
"石家庄",2022,"130100",121520,NA,NA,NA
"唐山",2003,"130200",7299.67,0.00273984988362488,0.179991698254853,0.2984
"唐山",2004,"130200",9755.76,0.00225507802569969,0.178683157437247,0.3062
"唐山",2005,"130200",12778.66,0.00195638666339037,0.1629380545378,0.3106
"唐山",2006,"130200",15154.04,0.00217763711855056,0.154314625010888,0.3114
"唐山",2007,"130200",19294.4,0.0152894103988722,0.186062795422506,0.3225
"唐山",2008,"130200",25704.26,0.0151725822879165,0.181159076355437,0.3111
"唐山",2009,"130200",28576.75,0.013507484231062,0.179854952015187,0.328
"唐山",2010,"130200",33243.35,0.0143487344085358,0.181200751428481,0.3242
"唐山",2011,"130200",44168.12,0.0140372739432876,0.177286015343193,0.3098
"唐山",2012,"130200",49031.41,0.0215983998828506,0.198959605689496,0.3172
"唐山",2013,"130200",49717.92,0.0182026923089301,0.195606131551762,0.3227
"唐山",2014,"130200",52465.69,0.0155530214126603,0.20773919107897,0.3327
