"IID","province","city","income","industry","education","gender","age","health","year","non_cognitive_score","cognitive_score","comprehensive_score"
"1102010001500001",110000,110100,70000,11,16,1,31,5,2016,3.59669354448053,2.33911744934599,3.06483679415656
"1102010001600002",110000,110100,70000,7,16,1,32,4,2014,3.42715198940665,3.57204876532415,3.19323994730883
"1102010001700001",110000,110100,50000,11,12,0,45,3,2014,3.22044347058227,2.66604058264597,2.95540804910738
"1102010001700001",110000,110100,50000,7,12,0,47,3,2016,3.19855700129701,2.71985910191116,3.02790416813487
"1102010001800002",110000,110100,24000,11,12,1,56,4,2016,3.37545716106403,3.5347113177089,3.24734191103771
"1102010001800003",110000,110100,3000,11,15,1,28,4,2016,3.38655600396065,1.76396906288229,2.9465013937444
"1102010002000001",110000,110100,30000,11,12,1,56,4,2014,3.39029418842916,1.42800951943939,2.51993400627735
"1102010002000001",110000,110100,84000,11,12,1,58,3,2016,3.79354658233329,2.71985910191116,3.24319618892252
"1102010002100001",110000,110100,25000,11,12,0,52,4,2014,3.7740698184206,2.66604058264597,3.14022432685916
"1102010002100001",110000,110100,32400,11,12,0,54,2,2016,4.01995287808575,2.87808322326999,3.34042870239901
"1102010002200003",110000,110100,30000,11,16,1,30,2,2014,3.42715198940665,2.99602323256257,3.48754583467126
"1102010002200003",110000,110100,35000,16,16,1,32,3,2016,2.35993475045626,2.9957455437849,2.84788460426701
"1102010002500001",110000,110100,36000,11,16,0,40,4,2014,3.40023576298283,2.37201081821595,3.20272886695615
"1102010002500001",110000,110100,50000,11,15,0,42,3,2016,3.42155537016098,3.23574015511833,3.21001194103373
"1102010002500002",110000,110100,70000,15,16,1,44,4,2016,3.61320314787623,1.76609629098984,3.25458576009187
"1102010002600001",110000,110100,35000,11,15,0,32,4,2014,3.76033486666271,2.40001016882767,3.61438531596361
"1102010002700001",110000,110100,50000,11,15,0,51,4,2014,3.98681872533407,2.66604058264597,3.12129232776582
"1102010002700001",110000,110100,50000,11,15,0,53,3,2016,3.60530673150653,2.33911744934599,3.04733590073379
"1102010002700002",110000,110100,50000,11,15,0,23,5,2014,3.38981601808052,2.40001016882767,3.16109430169534
"1102010002700002",110000,110100,70000,13,16,0,25,3,2016,3.99087554267925,3.03282450878959,3.5698988818594
"1102010002800001",110000,110100,30000,8,15,1,46,4,2014,2.97584530333981,2.70193518336901,2.92898011915258
"1102010002800001",110000,110100,60000,9,15,1,48,3,2016,3.65930135697319,3.5347113177089,3.12039666950602
"1102010002800002",110000,110100,40000,10,15,0,38,5,2014,3.37770091637877,3.25802503205035,3.1475070083743
"1102010002800002",110000,110100,42000,10,12,0,40,5,2016,3.36783116682595,2.40631213103395,3.23215604840359
"1102010003000001",110000,110100,40000,11,16,0,45,4,2014,3.43094536661087,3.03191783328561,3.45470047127908
"1102010003000001",110000,110100,120000,11,16,0,47,5,2016,3.15324048462643,2.66636788251167,2.80163973980778
"1102010003100001",110000,110100,1e+05,11,9,0,44,3,2014,3.40734232403609,3.54404941471242,3.25610851622654
